Provinsi,Indeks TPT (%)
ACEH,5.75
SUMATERA UTARA,5.6
SUMATERA BARAT,5.75
RIAU,3.7
JAMBI,4.48
SUMATERA SELATAN,3.86
BENGKULU,3.11
LAMPUNG,4.19
KEPULAUAN BANGKA BELITUNG,4.63
KEPULAUAN RIAU,6.39
DKI JAKARTA,6.21
JAWA BARAT,6.75
JAWA TENGAH,4.78
DI YOGYAKARTA,3.48
JAWA TIMUR,4.19
BANTEN,6.68
BALI,1.79
NUSA TENGGARA BARAT,2.73
NUSA TENGGARA TIMUR,3.02
KALIMANTAN BARAT,4.86
KALIMANTAN TENGAH,4.01
KALIMANTAN SELATAN,4.2
KALIMANTAN TIMUR,5.14
KALIMANTAN UTARA,3.9
SULAWESI UTARA,5.85
SULAWESI TENGAH,2.94
SULAWESI SELATAN,4.19
SULAWESI TENGGARA,3.09
GORONTALO,3.13
SULAWESI BARAT,2.68
MALUKU,6.11
MALUKU UTARA,4.03
PAPUA BARAT,4.13
PAPUA BARAT DAYA,6.48
PAPUA,6.48
PAPUA SELATAN,4.05
PAPUA TENGAH,2.75
PAPUA PEGUNUNGAN,1.32
