Provinsi,Jumlah penduduk miskin Sep 2024,Rata-rata Lama Sekolah,Indeks TPT,Kasus_HIV_2024,Kasus_AIDS_2024
ACEH,718.96,9.64,5.75,352,130
BALI,176.21,9.54,1.79,1998,779
BANTEN,777.49,9.23,6.68,2434,711
BENGKULU,261.15,9.04,3.11,173,57
DI YOGYAKARTA,430.47,9.92,3.48,928,250
DKI JAKARTA,449.07,11.49,6.21,5027,1820
GORONTALO,170.03,8.29,3.13,277,90
JAMBI,272.7,8.9,4.48,313,93
JAWA BARAT,3668.35,8.87,6.75,9893,3239
JAWA TENGAH,3396.34,8.02,4.78,6191,2058
JAWA TIMUR,3893.82,8.28,4.19,10460,3713
KALIMANTAN BARAT,333.99,7.78,4.86,1309,415
KALIMANTAN SELATAN,180.2,8.62,4.2,674,256
KALIMANTAN TENGAH,149.24,8.81,4.01,485,192
KALIMANTAN TIMUR,211.88,10.02,5.14,1375,389
KALIMANTAN UTARA,41.11,9.35,3.9,209,86
KEPULAUAN BANGKA BELITUNG,78.58,8.33,4.63,277,84
KEPULAUAN RIAU,124.96,10.5,6.39,949,352
LAMPUNG,939.3,8.36,4.19,1220,351
MALUKU,293.99,10.26,6.11,861,189
MALUKU UTARA,79.69,9.37,4.03,592,223
NUSA TENGGARA BARAT,658.6,7.87,2.73,627,189
NUSA TENGGARA TIMUR,1107.94,8.02,3.02,1255,465
PAPUA,161.07,9.82,6.48,2275,819
PAPUA BARAT,108.28,7.86,4.13,827,184
PAPUA BARAT DAYA,96.81,8.39,6.48,291,97
PAPUA PEGUNUNGAN,331.12,4.21,1.32,559,0
PAPUA SELATAN,103.02,8.38,4.05,194,75
PAPUA TENGAH,287.54,6.12,2.75,1311,433
RIAU,473.04,9.43,3.7,1007,345
SULAWESI BARAT,155.91,8.15,2.68,134,56
SULAWESI SELATAN,711.77,8.86,4.19,2120,741
SULAWESI TENGAH,358.33,9.04,2.94,705,261
SULAWESI TENGGARA,305.27,9.42,3.09,646,196
SULAWESI UTARA,173.3,9.84,5.85,869,312
SUMATERA BARAT,315.43,9.44,5.75,654,238
SUMATERA SELATAN,948.84,8.57,3.86,986,332
SUMATERA UTARA,1110.92,9.93,5.6,3250,1316
